idx,pfx,val
22026,595,645
3610,596,638
9199,596,656
14794,596,668
20383,596,671
1972,597,664
7567,597,657
13151,597,660
18740,597,662
329,598,648
5918,598,622
11502,598,617
17097,598,612
22686,598,603
4275,599,587
9859,599,564
15448,599,564
21037,599,548
2632,600,535
8221,600,520
13645,600,517
19234,600,521
823,601,524
6418,601,523
12007,601,517
17591,601,529
23180,601,535
4769,602,543
10358,602,543
15953,602,536
21537,602,542
3126,603,554
8715,603,558
14304,603,559
19893,603,551
1477,604,561
7066,604,575
12661,604,572
18250,604,567
23834,604,562
5423,605,573
11018,605,578
16607,605,575
22196,605,566
3780,606,570
9369,606,582
14964,606,582
20553,606,574
2137,607,580
7726,607,587
13321,607,584
18910,607,575
494,608,586
6083,608,591
11678,608,587
17256,608,576
22851,608,592
4440,609,593
10035,609,586
15619,609,590
21208,609,600
2803,610,597
8553,610,592
13976,610,600
19565,610,603
1326,611,600
6738,611,605
12333,611,605
18094,611,606
23689,611,601
5101,612,606
10862,612,612
16285,612,604
22035,612,605
3458,613,613
9053,613,610
14631,613,602
20226,613,614
1815,614,617
7410,614,611
12988,614,610
18583,614,622
178,615,617
5756,615,608
11351,615,622
16940,615,624
22535,615,620
4113,616,618
9708,616,629
15303,616,626
20892,616,619
2476,617,627
8065,617,633
13660,617,635
19238,617,629
833,618,636
6428,618,642
12017,618,639
17601,618,637
23190,618,650
4785,619,650
10374,619,646
15958,619,646
21547,619,660
3142,620,658
8731,620,650
14315,620,662
19904,620,667
1499,621,664
7077,621,660
12672,621,673
18261,621,676
23856,621,670
5434,622,665
11029,622,680
16618,622,681
22213,622,670
3797,623,682
9386,623,684
14975,623,680
20559,623,669
2148,624,676
7743,624,682
13332,624,673
18916,624,668
511,625,672
6100,625,674
11689,625,661
17273,625,666
22868,625,662
4457,626,660
10052,626,649
15630,626,644
21225,626,647
2814,627,640
8409,627,626
13987,627,630
19582,627,632
1171,628,624
6755,628,620
12344,628,618
17939,628,616
23528,628,612
5112,629,607
10701,629,612
16296,629,610
21885,629,603
3469,630,602
9058,630,608
14653,630,607
20242,630,597
1826,631,606
7415,631,608
13010,631,607
18594,631,597
183,632,607
5772,632,614
11367,632,608
16951,632,605
22540,632,613
4135,633,614
9724,633,607
15308,633,613
20897,633,618
2492,634,616
8081,634,606
13665,634,612
19260,634,620
849,635,617
6433,635,608
12022,635,617
17617,635,619
23206,635,617
4790,636,612
10379,636,617
15974,636,618
21563,636,610
3147,637,612
8742,637,622
14331,637,620
19915,637,607
1504,638,613
7099,638,620
12688,638,614
18272,638,607
23867,638,617
5456,639,622
11051,639,608
16629,639,605
22224,639,616
3813,640,611
9408,640,601
14992,640,608
20581,640,614
2176,641,610
7765,641,601
13349,641,610
18944,641,609
533,642,609
6117,642,599
11706,642,613
17301,642,618
22890,642,606
4474,643,603
10063,643,609
15658,643,608
21247,643,601
