idx,pfx,val
2607,276,887
8185,276,879
13780,276,888
19369,276,891
958,277,888
6553,277,890
12142,277,870
17720,277,851
23315,277,850
4904,278,851
10499,278,849
16088,278,846
21677,278,843
3266,279,821
8850,279,812
14439,279,817
20034,279,822
1623,280,823
7212,280,822
12801,280,801
18390,280,787
23974,280,789
5569,281,800
11158,281,809
16747,281,813
22336,281,802
3925,282,791
9509,282,797
15104,282,811
20693,282,821
2282,283,822
7871,283,803
13455,283,798
19050,283,803
639,284,816
6228,284,816
11817,284,795
17401,284,790
22990,284,804
4585,285,811
10174,285,798
15758,285,785
21347,285,802
2942,286,811
8531,286,817
14120,286,801
19704,286,817
1293,287,826
6888,287,840
12477,287,820
18061,287,841
23650,287,852
5245,288,856
10823,288,853
16418,288,878
22013,288,886
3602,289,888
9186,289,895
14775,289,917
20370,289,926
1959,290,924
7543,290,940
13132,290,954
18727,290,961
311,291,960
5900,291,979
11495,291,992
17084,291,987
22668,291,1004
4263,292,1016
9852,292,1023
15436,292,1014
21025,292,1040
2620,293,1047
8209,293,1041
13793,293,1053
19388,293,1063
977,294,1070
6561,294,1056
12150,294,1080
17745,294,1098
23334,294,1092
4918,295,1097
10513,295,1118
16102,295,1130
21691,295,1119
3275,296,1133
8870,296,1154
14459,296,1163
20048,296,1154
1632,297,1158
7227,297,1179
12816,297,1192
18405,297,1190
23994,297,1173
5578,298,1180
11167,298,1198
16762,298,1206
22351,298,1203
3940,299,1194
9524,299,1175
15113,299,1188
20702,299,1194
2291,300,1194
7886,300,1190
13475,300,1183
19064,300,1179
653,301,1161
6237,301,1154
11826,301,1165
17415,301,1173
23004,301,1175
4593,302,1181
10182,302,1186
15771,302,1188
21360,302,1205
2955,303,1220
8544,303,1233
14133,303,1247
19722,303,1260
1311,304,1267
6900,304,1273
12484,304,1286
18073,304,1300
23662,304,1299
5251,305,1307
10840,305,1294
16429,305,1280
22018,305,1268
3607,306,1251
9196,306,1243
14785,306,1243
20374,306,1248
1963,307,1254
7552,307,1267
13141,307,1282
18730,307,1292
319,308,1309
5914,308,1325
11503,308,1343
17092,308,1355
22681,308,1378
4270,309,1397
9859,309,1419
15448,309,1445
21037,309,1463
2626,310,1466
8215,310,1462
13799,310,1445
19388,310,1454
983,311,1449
6572,311,1441
12161,311,1427
17750,311,1408
23339,311,1378
4928,312,1362
10517,312,1337
16106,312,1310
21690,312,1296
3279,313,1305
8868,313,1307
14463,313,1312
20052,313,1306
1641,314,1305
7230,314,1298
12814,314,1284
18403,314,1309
23992,314,1324
5587,315,1332
11176,315,1331
16765,315,1322
22349,315,1325
3938,316,1350
9533,316,1366
15122,316,1360
20711,316,1346
2295,317,1360
7890,317,1381
13479,317,1385
19068,317,1376
652,318,1365
6247,318,1394
11836,318,1410
17425,318,1392
23009,318,1375
4598,319,1401
10193,319,1415
15782,319,1401
21366,319,1387
2961,320,1415
8550,320,1408
14139,320,1381
19729,320,1404
1318,321,1418
6907,321,1389
12491,321,1395
18086,321,1414
23675,321,1394
5259,322,1386
10854,322,1410
16443,322,1387
22027,322,1380
3622,323,1406
9211,323,1379
14795,323,1376
20390,323,1402
1979,324,1370
7569,324,1380
13158,324,1390
18747,324,1362
337,325,1383
5926,325,1391
11515,325,1353
17105,325,1393
22694,325,1387
4278,326,1359
9873,326,1398
15462,326,1390
21046,326,1367
2641,327,1403
8230,327,1390
13814,327,1379
19409,327,1409
998,328,1392
6582,328,1382
12177,328,1414
17766,328,1392
23350,328,1390
4945,329,1414
10534,329,1387
16118,329,1390
21713,329,1410
3302,330,1382
8886,330,1383
14481,330,1406
20070,330,1380
1660,331,1376
7249,331,1401
12838,331,1377
18422,331,1371
17,332,1394
5606,332,1370
11190,332,1357
16785,332,1389
22374,332,1376
3958,333,1342
9553,333,1375
15142,333,1373
20731,333,1344
2321,334,1358
7910,334,1366
13499,334,1350
19083,334,1344
678,335,1366
6267,335,1352
11851,335,1320
17446,335,1355
23035,335,1355
4624,336,1336
10214,336,1332
15803,336,1360
21392,336,1346
2981,337,1314
8571,337,1348
14160,337,1351
19749,337,1340
1333,338,1324
6928,338,1354
12517,338,1354
18106,338,1335
23696,338,1340
5285,339,1363
10874,339,1361
16463,339,1334
22053,339,1354
3642,340,1380
9231,340,1358
14815,340,1327
20410,340,1362
1999,341,1362
7588,341,1346
13172,341,1333
18767,341,1363
356,342,1354
5945,342,1323
11535,342,1345
17124,342,1353
22713,342,1338
4297,343,1325
9892,343,1351
15481,343,1346
21065,343,1309
2660,344,1345
8249,344,1342
13838,344,1318
19428,344,1330
1017,345,1341
6606,345,1320
12190,345,1322
17785,345,1344
23374,345,1326
4958,346,1313
10553,346,1340
16142,346,1323
21726,346,1303
3321,347,1329
8910,347,1320
14494,347,1293
20089,347,1320
1678,348,1317
7267,348,1286
12851,348,1310
18446,348,1309
35,349,1285
5619,349,1305
11214,349,1302
16803,349,1284
22387,349,1286
3976,350,1291
9571,350,1281
15155,350,1272
20744,350,1287
2339,351,1277
7923,351,1254
13512,351,1275
19107,351,1267
696,352,1245
6280,352,1265
11875,352,1269
17464,352,1254
23048,352,1259
4637,353,1266
10232,353,1262
15816,353,1243
21405,353,1268
3000,354,1274
8589,354,1254
14173,354,1267
19768,354,1279
1357,355,1278
6941,355,1260
12530,355,1286
18125,355,1296
23714,355,1292
5298,356,1282
10893,356,1310
16482,356,1313
22071,356,1304
3655,357,1306
9250,357,1326
14839,357,1322
20428,357,1301
2012,358,1308
7607,358,1326
13196,358,1312
18785,358,1282
369,359,1300
5964,359,1304
11553,359,1293
17137,359,1275
22726,359,1292
4321,360,1289
9910,360,1277
15494,360,1267
21083,360,1287
2678,361,1284
8267,361,1264
13851,361,1276
19440,361,1288
1035,362,1282
6619,362,1257
12208,362,1280
17797,362,1279
23392,362,1272
4976,363,1260
10565,363,1276
16160,363,1274
21749,363,1252
3333,364,1266
8922,364,1268
14517,364,1261
20101,364,1241
1690,365,1258
7285,365,1258
12874,365,1244
18458,365,1242
47,366,1254
5642,366,1249
11226,366,1220
16815,366,1248
22410,366,1248
3999,367,1226
9583,367,1235
15172,367,1239
20767,367,1231
2351,368,1218
7946,368,1229
13535,368,1224
19119,368,1203
708,369,1214
6303,369,1214
11892,369,1181
17476,369,1195
23071,369,1201
4660,370,1177
10244,370,1185
15839,370,1192
21428,370,1180
3012,371,1169
8601,371,1186
14196,371,1181
19780,371,1152
1369,372,1181
6964,372,1185
12553,372,1163
18137,372,1168
23726,372,1176
5321,373,1171
10905,373,1145
16494,373,1165
22089,373,1158
3678,374,1124
9262,374,1139
14851,374,1139
20446,374,1120
2030,375,1097
7619,375,1109
13214,375,1098
18803,375,1065
387,376,1069
5976,376,1068
11571,376,1052
17155,376,1019
22744,376,1034
4339,377,1026
9928,377,1009
15512,377,1000
21101,377,1006
2696,378,1002
8285,378,986
13869,378,986
19464,378,996
1053,379,998
6642,379,987
12226,379,991
17815,379,1002
23410,379,1005
4999,380,996
10583,380,1004
16172,380,1024
21767,380,1025
3356,381,1017
8940,381,1024
14529,381,1048
20124,381,1047
1713,382,1046
7297,382,1044
12886,382,1069
18475,382,1070
70,383,1058
5654,383,1052
11243,383,1068
16832,383,1071
22427,383,1051
4011,384,1038
9600,384,1056
15189,384,1054
20784,384,1037
2362,385,1013
7957,385,1032
13546,385,1031
19141,385,1012
730,386,991
6314,386,997
11903,386,1006
17492,386,994
23087,386,980
4671,387,972
10260,387,987
15849,387,988
21444,387,986
3033,388,982
8617,388,973
14206,388,994
19795,388,1009
1390,389,1020
6979,389,1042
12568,389,1050
18157,389,1060
23741,389,1081
5330,390,1116
10919,390,1156
16514,390,1193
22103,390,1232
3692,391,1262
9281,391,1285
14870,391,1299
20460,391,1329
2049,392,1380
7638,392,1419
13227,392,1451
18816,392,1468
405,393,1482
5994,393,1479
11583,393,1475
17173,393,1490
22762,393,1520
4351,394,1544
9940,394,1562
15529,394,1565
21118,394,1561
2707,395,1549
8296,395,1538
13885,395,1512
19474,395,1498
1064,396,1502
6653,396,1519
12242,396,1536
17831,396,1549
23420,396,1562
5009,397,1570
10598,397,1573
16187,397,1574
21776,397,1577
3365,398,1578
8954,398,1582
14543,398,1591
20132,398,1598
1721,399,1605
7310,399,1602
12905,399,1605
18489,399,1627
78,400,1662
5667,400,1698
11256,400,1711
16845,400,1711
22434,400,1705
4023,401,1697
9612,401,1688
15201,401,1674
20790,401,1652
2379,402,1630
7968,402,1604
13558,402,1584
19147,402,1586
736,403,1596
6325,403,1605
11914,403,1617
17503,403,1629
23092,403,1633
4681,404,1632
10270,404,1626
15859,404,1612
21448,404,1598
3037,405,1582
8627,405,1568
14216,405,1587
19805,405,1605
1394,406,1623
6983,406,1640
12572,406,1651
18161,406,1652
23750,406,1641
5339,407,1623
10928,407,1603
16518,407,1636
22107,407,1666
